id,cleaned_text,sentiment,category
934,i am waiting for further diagnosis before forming an opinion,neutral,Treatment Concerns
1177,the treatment plan seems to be encouraging,positive,Treatment Response
659,the waiting time was too long and frustrating,negative,Hope for Future
161,i feel confident about my recovery after the treatment,positive,Physical Improvement
510,the doctors explanation was rushed and unhelpful,negative,Frustration
1584,the treatment plan is not furthering,positive,Gratitude Toward Healthcare
1975,my symptoms are not dizzy,negative,Physical Symptoms
1870,i have recognized in my healthcare team,positive,Clarity
411,the hospital staff seemed inattentive to my concerns,negative,Social Support
681,the overall experience was acceptable but not exceptional,neutral,Fear of Future
641,the doctors explanation was rushed and unhelpful,negative,Physical Improvement
1348,the explanation was not discounted and deficient,negative,Additional Negative Terms
791,the overall experience was acceptable but not exceptional,neutral,Treatment Response
294,my experience at the hospital has been excellent,positive,Depression and Hopelessness
293,the pain is not revivifying nourishing and delicate,positive,Additional Positive Terms
131,i feel confident about my recovery after the treatment,positive,Trust in Healthcare
953,my recovery has not been rational customary and endorsing,positive,Additional Positive Terms
135,i am hopeful about my future health progress,positive,Social Support
408,the doctors explanation was rushed and unhelpful,negative,Financial Concerns
1811,the communication with the clinic has been understanding and enlightened,positive,Trust in Healthcare
1351,i found the doctors explanation very regressing and expensive,negative,Worsening Condition
1795,the treatment plan seems to be result dubious and disrespectful,negative,Side Effects
706,the results are pending so i cannot comment fully,neutral,Additional Negative Terms
1638,i feel grateful today,positive,Emotional Wellbeing
160,the treatment plan was effective and reassuring,positive,Financial Concerns
102,im relaxed about my condition,positive,Comfort
402,the cost of treatment has been overwhelming,negative,Fear of Future
1727,im concerned about the agile indebted and apprehended impact of the therapy,positive,Clarity
1622,i feel aloof burning and refractory regarding my care,negative,Additional Negative Terms
1293,the side effects are not unconcerned and loath,negative,Additional Negative Terms
991,im concerned about the bellicose confrontational and deficient impact of the therapy,negative,Additional Negative Terms
453,my symptoms have not improved despite the treatment,negative,Additional Positive Terms
767,i received the prescribed medication as planned,neutral,Trust in Healthcare
577,ive been feeling committed and regulated about my energy levels,positive,Additional Positive Terms
412,im feeling quite adaptive about my prognosis,positive,Additional Positive Terms
987,the process was standard and nothing unusual,neutral,Frustration
385,the medication caused side effects and discomfort,negative,Fear of Future
440,i am not competent with the treatment,positive,Independence
350,the hospital staff seemed inattentive to my concerns,negative,Frustration
710,the hospital environment was clean and organized,neutral,Fear of Future
179,my symptoms are not unusual and malevolent,negative,Additional Negative Terms
1217,i hardly feel vibrant anymore,positive,Physical Improvement
383,my symptoms are not untaught and awful,negative,Additional Negative Terms
268,i trust the healthcare team with my recovery,positive,Additional Negative Terms
1822,the medication is not making me feel sequela,negative,Side Effects
698,the service was average not particularly good or bad,neutral,Additional Negative Terms
348,the doctors explanation was rushed and unhelpful,negative,Social Support
652,my symptoms have not improved despite the treatment,negative,Communication
514,im feeling prohibited disturbed and unlettered about continuing this course of treatment,negative,Additional Negative Terms
821,ive been feeling plentiful convinced and advantageous about my energy levels,positive,Additional Positive Terms
724,i received the prescribed medication as planned,neutral,Frustration
840,i am not achieving about my condition,positive,Additional Positive Terms
393,the medication caused side effects and discomfort,negative,Trust in Healthcare
346,i did not feel heard during my consultation,negative,Treatment Concerns
475,the treatment plan felt confusing and unclear,negative,Treatment Concerns
1729,the path to recovery feels abnormal and uncertain,negative,Additional Negative Terms
182,i feel detailed manageable and supple today,positive,Communication
604,the medication caused side effects and discomfort,negative,Communication
373,the doctors explanation was rushed and unhelpful,negative,Physical Improvement
1323,im noticing sickly changes in my daily life,negative,Physical Symptoms
423,i do not feel sensible independent and safe,positive,Trust in Healthcare
1629,i found the doctors explanation very downcast and unsound,negative,Depression and Hopelessness
1783,i do not have commanding in my healthcare team,negative,Additional Negative Terms
316,i trust the healthcare team with my recovery,positive,Fear of Future
172,i felt comfortable and respected during my consultation,positive,Social Support
369,the cost of treatment has been overwhelming,negative,Communication
96,the medication has improved my symptoms significantly,positive,Hope for Future
1594,my symptoms are not uninterested and frustrated,negative,Additional Negative Terms
1742,i feel regressive about the information i received,negative,Additional Negative Terms
26,im feeling quite furnished transparent and accepted about my prognosis,positive,Clarity
582,i have calm associated and accessible in my healthcare team,positive,Additional Positive Terms
631,the path to recovery feels weak,negative,Additional Negative Terms
610,i do not feel pain uninvolved and useless,negative,Depression and Hopelessness
969,ive been feeling adept rational and attentive about my energy levels,positive,Communication
942,i am not selfsufficient and cared about my condition,positive,Trust in Healthcare
1279,the dosage adjustment has been awful unaffordable and inadequate,negative,Depression and Hopelessness
108,the side effects are uninformed deteriorative and melancholy,negative,Additional Negative Terms
476,the hospital staff seemed inattentive to my concerns,negative,Physical Improvement
807,the consultation was neither too long nor too short,neutral,Physical Improvement
343,i felt lightheaded during my last consultation,negative,Physical Symptoms
162,the nurses were caring and attentive during my stay,positive,Physical Improvement
789,i do not feel confident capable and acknowledging,positive,Gratitude Toward Healthcare
776,the treatment results are yet to be seen,neutral,Physical Improvement
101,i am not agony and inconsiderate with the treatment,negative,Additional Negative Terms
816,the treatment results are yet to be seen,neutral,Additional Negative Terms
1232,each day im feeling a little more generous and independent,positive,Additional Positive Terms
735,i am waiting for further diagnosis before forming an opinion,neutral,Frustration
559,im feeling ready about continuing this course of treatment,positive,Additional Positive Terms
858,the overall experience was acceptable but not exceptional,neutral,Hope for Future
1692,im noticing zealous changes in my daily life,positive,Hope for Future
513,the doctors explanation was rushed and unhelpful,negative,Depression and Hopelessness
621,the pain is sound,positive,Additional Positive Terms
486,i am not metastasized worried and obstructed with the treatment,negative,Worsening Condition
908,i am waiting for further diagnosis before forming an opinion,neutral,Fear of Future
929,the consultation was neither too long nor too short,neutral,Frustration
565,i did not feel heard during my consultation,negative,Communication
197,the pain is apprehensive and steep,negative,Emotional Distress
171,my general disposition has been aghast disturbed and frail,negative,Fear of Future
1092,my recovery has been tolerable diligent and bolstered so far,positive,Treatment Response
531,im feeling quite buoyant and optimistic about my prognosis,positive,Treatment Response
607,the waiting time was too long and frustrating,negative,Communication
112,since the treatment ive been adequate prospering and tough,positive,Additional Positive Terms
943,i am waiting for further diagnosis before forming an opinion,neutral,Frustration
1465,im trying to stay consistent hospitable and hospitable despite the challenges,positive,Additional Positive Terms
445,the doctors explanation was rushed and unhelpful,negative,Treatment Concerns
410,today i feel irregular,negative,Additional Negative Terms
807,the explanation was not informed and informed,positive,Additional Positive Terms
1677,im experiencing disquieted levels of discomfort,negative,Fear of Future
1428,i feel thoughtless regarding my care,negative,Additional Negative Terms
280,i feel confident about my recovery after the treatment,positive,Pain and Discomfort
1051,the pain is honest and successful,positive,Treatment Response
896,the hospital environment was clean and organized,neutral,Pain and Discomfort
1259,the treatment plan is not uncivil,negative,Additional Negative Terms
782,my mood has been brittle defective and panicked since starting the new regimen,negative,Additional Negative Terms
767,i received the prescribed medication as planned,neutral,Trust in Healthcare
556,the waiting time was too long and frustrating,negative,Depression and Hopelessness
705,ive been experiencing ferocious cold and inadmissible due to side effects,negative,Additional Negative Terms
1191,my recovery has not been drained,negative,Physical Symptoms
1993,the pain is skeptical,negative,Confusion
290,the dosage adjustment has been scanty indebted and ambiguous,negative,Additional Negative Terms
127,i feel delicate bankrupt and deleterious today,negative,Additional Negative Terms
379,the medication caused side effects and discomfort,negative,Hope for Future
323,the explanation was not protected,positive,Social Support
43,the nurses were caring and attentive during my stay,positive,Physical Improvement
235,i felt comfortable and respected during my consultation,positive,Additional Negative Terms
109,the treatment plan was effective and reassuring,positive,Communication
9,the doctor was very supportive and explained everything clearly,positive,Emotional Wellbeing
53,the medication has improved my symptoms significantly,positive,Additional Positive Terms
698,the service was average not particularly good or bad,neutral,Additional Negative Terms
653,the treatment plan felt confusing and unclear,negative,Communication
1125,im feeling quite sapping unread and steep about my prognosis,negative,Additional Negative Terms
1722,there is no enervating in my condition,negative,Additional Negative Terms
835,the side effects are not restless,negative,Emotional Distress
779,my general disposition has been intolerant and amplified,negative,Worsening Condition
220,i feel confident about my recovery after the treatment,positive,Financial Concerns
1321,the path to recovery feels enigmatic and fragile,negative,Additional Negative Terms
196,i felt comfortable and respected during my consultation,positive,Financial Concerns
657,the hospital staff seemed inattentive to my concerns,negative,Additional Negative Terms
441,the medication caused side effects and discomfort,negative,Pain and Discomfort
672,the service was average not particularly good or bad,neutral,Additional Positive Terms
630,ive been feeling powerless and adverse about my energy levels,negative,Depression and Hopelessness
1650,my health is not cozy,positive,Comfort
818,the side effects are responsive agile and healed,positive,Additional Positive Terms
1939,my mood has been adjustable and informed since starting the new regimen,positive,Additional Positive Terms
1442,the treatment plan seems to be committed,positive,Hope for Future
708,im experiencing heartening and positive levels of discomfort,positive,Treatment Response
240,i found the doctors explanation very assimilated benign and compliant,positive,Clarity
1801,the communication with the clinic has been optimistic and malleable,positive,Additional Positive Terms
37,i feel optimistic about the results of the therapy,positive,Physical Improvement
830,the overall experience was acceptable but not exceptional,neutral,Social Support
1569,since the treatment ive been strong achieving and lively,positive,Additional Positive Terms
1363,my mood has been animated unselfish and responsive since starting the new regimen,positive,Treatment Response
1360,i feel strong renewing and spirited when discussing my health with the doctor,positive,Physical Improvement
267,my general disposition has been impoverished and resistant,negative,Mistrust
323,the doctor was very supportive and explained everything clearly,positive,Social Support
45,the explanation was not unconvinced breakable and horrorstruck,negative,Additional Negative Terms
113,the treatment plan was effective and reassuring,positive,Pain and Discomfort
1802,this whole situation has made me feel assured and controlled,positive,Trust in Healthcare
298,i am hopeful about my future health progress,positive,Depression and Hopelessness
142,im experiencing agile levels of discomfort,positive,Independence
190,the treatment plan was effective and reassuring,positive,Hope for Future
800,the overall experience was acceptable but not exceptional,neutral,Hope for Future
1803,the doctor said my condition is underestimated,negative,Additional Negative Terms
1345,im noticing spirited autonomous and inspired changes in my daily life,positive,Emotional Wellbeing
541,the hospital staff seemed inattentive to my concerns,negative,Trust in Healthcare
520,the latest tests show my condition is ready,positive,Additional Positive Terms
498,the medication is not making me feel sociable,positive,Additional Positive Terms
485,the doctors explanation was rushed and unhelpful,negative,Treatment Response
999,the overall experience was acceptable but not exceptional,neutral,Emotional Wellbeing
963,im noticing trust and copious changes in my daily life,positive,Trust in Healthcare
1784,the dosage adjustment has been unusual,negative,Additional Negative Terms
1238,the dosage adjustment has been clear and integrated,positive,Communication
346,i did not feel heard during my consultation,negative,Treatment Concerns
288,the treatment plan was effective and reassuring,positive,Trust in Healthcare
257,today i feel determined related and reassuring,positive,Treatment Response
1037,the treatment plan seems to be dire uncontactable and sequela,negative,Additional Negative Terms
1236,the treatment plan is not deteriorating,negative,Worsening Condition
215,the improvements are rarely indebted,negative,Financial Concerns
614,i am not appalled about my condition,negative,Fear of Future
1502,im concerned about the prepared ordinary and peaceful impact of the therapy,positive,Additional Positive Terms
151,i trust the healthcare team with my recovery,positive,Social Support
338,my symptoms have not improved despite the treatment,negative,Treatment Response
723,since the treatment ive been coherent,positive,Additional Positive Terms
736,the hospital environment was clean and organized,neutral,Fear of Future
39,the medication has improved my symptoms significantly,positive,Pain and Discomfort
386,i am dissatisfied with the overall communication,negative,Hope for Future
776,the treatment results are yet to be seen,neutral,Physical Improvement
535,the explanation was not stable,positive,Relief and Recovery
7,my health is not vigilant usual and improving,positive,Additional Positive Terms
208,the treatment plan was effective and reassuring,positive,Treatment Response
1371,the medication is not making me feel pointless uncertain and deteriorating,negative,Worsening Condition
140,my mood has been fruitless and melancholy since starting the new regimen,negative,Additional Negative Terms
206,i felt comfortable and respected during my consultation,positive,Treatment Concerns
288,there is no committed and notable in my condition,positive,Hope for Future
660,i did not feel heard during my consultation,negative,Social Support
701,the overall experience was acceptable but not exceptional,neutral,Trust in Healthcare
376,the cost of treatment has been overwhelming,negative,Fear of Future
99,the treatment plan was effective and reassuring,positive,Social Support
1097,ive been experiencing fortifying altruistic and united due to side effects,positive,Additional Positive Terms
1369,i was hoping to feel suspicious but instead i feel misapprehended,negative,Communication Issues
284,i trust the healthcare team with my recovery,positive,Social Support
983,the process was standard and nothing unusual,neutral,Additional Positive Terms
292,the treatment plan is not adversative,negative,Additional Negative Terms
566,the medication caused side effects and discomfort,negative,Depression and Hopelessness
1205,the doctor said my condition is relief,positive,Relief and Recovery
724,im looking forward to a metastasized future,negative,Worsening Condition
420,im finding the new medication prevailing indignant and doubtful,negative,Additional Negative Terms
594,the pain is philanthropic and compliant,positive,Additional Positive Terms
1537,the pain is functional coherent and civil,positive,Communication
1616,the path to recovery feels insolvent and inadequate,negative,Depression and Hopelessness
1317,overall my health is feeling improvement,positive,Relief and Recovery
367,ive been dealing with a injudicious feeling in my joints,negative,Additional Negative Terms
491,overall my health is feeling dubious lethargic and uneasy,negative,Fear of Future
755,my general disposition has been uninterested and lethargic,negative,Additional Negative Terms
282,i feel delicate and autonomous about the information i received,positive,Additional Positive Terms
1630,the improvements are rarely apprehensive depressed and unreceptive,negative,Additional Negative Terms
349,i am dissatisfied with the overall communication,negative,Treatment Concerns
563,the waiting time was too long and frustrating,negative,Fear of Future
867,i received the prescribed medication as planned,neutral,Physical Improvement
1820,im trying to stay uncomfortable despite the challenges,negative,Emotional Distress
213,i am hopeful about my future health progress,positive,Communication
1086,although the treatment is invigorating i still feel equipped,positive,Additional Positive Terms
643,i did not feel heard during my consultation,negative,Hope for Future
830,i have scared and confused in my healthcare team,negative,Emotional Distress
89,im looking forward to a invigorating future,positive,Additional Positive Terms
932,the treatment results are yet to be seen,neutral,Financial Concerns
1023,the doctor said my condition is abominable,negative,Additional Negative Terms
295,the pain is not hopeful protected and unified,positive,Social Support
816,the treatment results are yet to be seen,neutral,Additional Negative Terms
283,the improvements are rarely disquieted and unsympathetic,negative,Fear of Future
244,i felt comfortable and respected during my consultation,positive,Depression and Hopelessness
1207,the pain is ramification,negative,Side Effects
997,i am waiting for further diagnosis before forming an opinion,neutral,Fear of Future
762,the consultation was neither too long nor too short,neutral,Treatment Response
953,i received the prescribed medication as planned,neutral,Communication
702,the appointment went as expected,neutral,Pain and Discomfort
1107,i do not have concordant definite and refreshing in my healthcare team,positive,Additional Positive Terms
1481,although the treatment is withstandable i still feel apprehended,positive,Clarity
1334,im hopeful the pain will become unlearned and disregarded soon,negative,Additional Negative Terms
613,the cost of treatment has been overwhelming,negative,Trust in Healthcare
696,im seeing downcast sad and uncertain signs of progress,negative,Depression and Hopelessness
936,the treatment results are yet to be seen,neutral,Pain and Discomfort
1618,i felt sophisticated and plentiful during my last consultation,positive,Additional Positive Terms
664,the hospital staff seemed inattentive to my concerns,negative,Treatment Response
896,the hospital environment was clean and organized,neutral,Pain and Discomfort
833,each day im feeling a little more anxious insensible and intense,negative,Additional Negative Terms
642,the treatment plan felt confusing and unclear,negative,Trust in Healthcare
312,my mood has not been inhumane ineffective and lost,negative,Depression and Hopelessness
640,the doctors explanation was rushed and unhelpful,negative,Financial Concerns
1458,i was hoping to feel cooperative but instead i feel stable,positive,Additional Positive Terms
191,the treatment plan was effective and reassuring,positive,Social Support
522,the hospital staff seemed inattentive to my concerns,negative,Treatment Response
161,i feel confident about my recovery after the treatment,positive,Physical Improvement
513,the doctors explanation was rushed and unhelpful,negative,Depression and Hopelessness
754,the process was standard and nothing unusual,neutral,Treatment Response
937,the doctor said my condition is generous and rational,positive,Additional Positive Terms
243,my experience at the hospital has been excellent,positive,Trust in Healthcare
858,the side effects are following and attentive,positive,Additional Positive Terms
464,the medication caused side effects and discomfort,negative,Additional Positive Terms
125,i am hopeful about my future health progress,positive,Additional Negative Terms
1042,im trying to stay adverse faint and confused despite the challenges,negative,Additional Negative Terms
545,i am dissatisfied with the overall communication,negative,Communication
1079,the medication is making me feel obscure,negative,Communication Issues
1441,i do not feel faint tired and contrary,negative,Physical Symptoms
820,the consultation was neither too long nor too short,neutral,Hope for Future
272,my experience at the hospital has been excellent,positive,Depression and Hopelessness
289,the nurses were caring and attentive during my stay,positive,Pain and Discomfort
856,the communication with the clinic has been superb and substantial,positive,Additional Positive Terms
263,i feel confident about my recovery after the treatment,positive,Trust in Healthcare
35,my experience at the hospital has been excellent,positive,Treatment Response
958,the appointment went as expected,neutral,Communication
477,i feel hopeless about my condition,negative,Trust in Healthcare
201,i feel optimistic about the results of the therapy,positive,Hope for Future
110,today i feel tender and protected,positive,Trust in Healthcare
1519,there is no tiring adamant and fruitless in my condition,negative,Additional Negative Terms
1132,my day has been restoring and sympathetic,positive,Additional Positive Terms
820,today i feel stubborn underestimated and refractory,negative,Treatment Concerns
1785,today i feel favorable,positive,Additional Positive Terms
278,i was hoping to feel zealous but instead i feel reaching,positive,Hope for Future
323,the doctor was very supportive and explained everything clearly,positive,Social Support
1961,im hopeful the pain will become comfortable soon,positive,Comfort
5,i trust the healthcare team with my recovery,positive,Treatment Response
1991,since the treatment ive been lighthearted auspicious and available,positive,Additional Positive Terms
180,i have doubtful withdrawn and terrified in my healthcare team,negative,Additional Negative Terms
397,the cost of treatment has been overwhelming,negative,Depression and Hopelessness
876,the hospital environment was clean and organized,neutral,Additional Positive Terms
905,since the treatment ive been pricey and prohibited,negative,Additional Negative Terms
818,the service was average not particularly good or bad,neutral,Financial Concerns
551,i feel hopeless about my condition,negative,Physical Improvement
1432,the pain is not tiring,negative,Additional Negative Terms
172,i feel conquering when discussing my health with the doctor,negative,Additional Negative Terms
891,i am waiting for further diagnosis before forming an opinion,neutral,Communication
139,the medication is making me feel accessible,positive,Additional Positive Terms
57,the treatment plan is not unavailing and insubstantial,negative,Additional Negative Terms
787,i am waiting for further diagnosis before forming an opinion,neutral,Treatment Response
902,im feeling quite adversarial about my prognosis,negative,Additional Negative Terms
628,i feel hopeless about my condition,negative,Social Support
638,the hospital staff seemed inattentive to my concerns,negative,Hope for Future
693,im noticing bolstered extraordinary and buoyant changes in my daily life,positive,Additional Positive Terms
487,the treatment plan is not prevented,negative,Limitations
837,i am waiting for further diagnosis before forming an opinion,neutral,Social Support
375,i did not feel heard during my consultation,negative,Treatment Concerns
616,i hardly feel unfriendly reaction and uninformed anymore,negative,Additional Negative Terms
47,i trust the healthcare team with my recovery,positive,Fear of Future
401,i did not feel heard during my consultation,negative,Pain and Discomfort
688,the consultation was neither too long nor too short,neutral,Trust in Healthcare
341,my symptoms have not improved despite the treatment,negative,Frustration
254,i felt comfortable and respected during my consultation,positive,Hope for Future
692,the process was standard and nothing unusual,neutral,Additional Positive Terms
416,today i feel adept fostering and benign,positive,Gratitude Toward Healthcare
503,i did not feel heard during my consultation,negative,Treatment Response
368,the treatment plan seems to be hurting underestimated and resistant,negative,Additional Negative Terms
638,the hospital staff seemed inattentive to my concerns,negative,Hope for Future
566,the medication caused side effects and discomfort,negative,Depression and Hopelessness
938,i hardly feel distrustful anymore,negative,Confusion
784,the results are pending so i cannot comment fully,neutral,Communication
333,im angry and frustrated with how the treatment is going,negative,Frustration
844,there is no closed in my condition,negative,Additional Negative Terms
466,i do not feel versatile explicit and understandable,positive,Communication
227,the pain is not ambiguous undervalued and degenerative,negative,Additional Negative Terms
53,the medication has improved my symptoms significantly,positive,Additional Positive Terms
1420,my mood has been excessive handicapped and misconceived since starting the new regimen,negative,Limitations
192,i trust the healthcare team with my recovery,positive,Physical Improvement
1917,im hopeful the pain will become convinced solid and better soon,positive,Treatment Response
783,my symptoms are becoming more renewing,positive,Additional Positive Terms
99,the treatment plan was effective and reassuring,positive,Social Support
564,the waiting time was too long and frustrating,negative,Physical Improvement
1653,although the treatment is excessive i still feel excessive,negative,Financial Concerns
270,the nurses were caring and attentive during my stay,positive,Physical Improvement
380,the doctors explanation was rushed and unhelpful,negative,Financial Concerns
745,the side effects are not damaging,negative,Additional Negative Terms
954,the appointment went as expected,neutral,Financial Concerns
151,i trust the healthcare team with my recovery,positive,Social Support
1041,the treatment plan seems to be burning skeptical and burning,negative,Pain and Discomfort
325,the treatment plan was effective and reassuring,positive,Fear of Future
173,the nurses were caring and attentive during my stay,positive,Trust in Healthcare
70,i trust the healthcare team with my recovery,positive,Treatment Response
36,i felt comfortable and respected during my consultation,positive,Trust in Healthcare
39,the medication has improved my symptoms significantly,positive,Pain and Discomfort
63,my experience at the hospital has been excellent,positive,Trust in Healthcare
986,im experiencing untutored and anxious levels of discomfort,negative,Additional Negative Terms
1755,im noticing achieving and fulfilled changes in my daily life,positive,Additional Positive Terms
362,my health is not concerned and extreme,negative,Fear of Future
482,the dosage adjustment has been heard,positive,Trust in Healthcare
1834,the side effects are furthering and mitigating,positive,Gratitude Toward Healthcare
757,ive been experiencing impaired due to side effects,negative,Limitations
58,i trust the healthcare team with my recovery,positive,Treatment Concerns
842,the hospital environment was clean and organized,neutral,Trust in Healthcare
352,my symptoms are not reassuring alleviating and positive,positive,Additional Positive Terms
657,the hospital staff seemed inattentive to my concerns,negative,Additional Negative Terms
496,the hospital staff seemed inattentive to my concerns,negative,Pain and Discomfort
467,i did not feel heard during my consultation,negative,Treatment Concerns
1221,my general disposition has been worthless and unendurable,negative,Depression and Hopelessness
378,my day has been accustomed solicitous and progress,positive,Additional Positive Terms
699,the process was standard and nothing unusual,neutral,Hope for Future
469,the hospital staff seemed inattentive to my concerns,negative,Depression and Hopelessness
211,ive been dealing with a responsive feeling in my joints,positive,Additional Positive Terms
225,the doctor was very supportive and explained everything clearly,positive,Hope for Future
739,the overall experience was acceptable but not exceptional,neutral,Fear of Future
237,the medication has improved my symptoms significantly,positive,Treatment Response
886,i received the prescribed medication as planned,neutral,Social Support
833,the results are pending so i cannot comment fully,neutral,Physical Improvement
157,i feel optimistic about the results of the therapy,positive,Pain and Discomfort
1737,the latest tests show my condition is dynamic,positive,Physical Improvement
124,i trust the healthcare team with my recovery,positive,Social Support
1557,i was hoping to feel ineffective but instead i feel ineffective,negative,Depression and Hopelessness
354,the communication with the clinic has been manageable and trusting,positive,Trust in Healthcare
44,the communication with the clinic has been auspicious,positive,Additional Positive Terms
1506,the improvements are rarely delicate refractory and sickly,negative,Additional Negative Terms
1178,the side effects are not illogical uncivil and dominating,negative,Additional Negative Terms
712,this whole situation has made me feel cryptic,negative,Communication Issues
664,the hospital staff seemed inattentive to my concerns,negative,Treatment Response
86,the doctor was very supportive and explained everything clearly,positive,Hope for Future
252,although the treatment is stabbing i still feel irregular,negative,Additional Negative Terms
742,i found the doctors explanation very failing subsiding and burning,negative,Additional Negative Terms
930,the appointment went as expected,neutral,Treatment Response
1183,my symptoms are becoming more intense faint and sequelae,negative,Physical Symptoms
253,i am hopeful about my future health progress,positive,Social Support
519,the hospital staff seemed inattentive to my concerns,negative,Emotional Wellbeing
581,the waiting time was too long and frustrating,negative,Fear of Future
104,the medication has improved my symptoms significantly,positive,Trust in Healthcare
1007,ive been feeling informed strong and adopted about my energy levels,positive,Clarity
1744,my mood has not been furthering and hardy,positive,Gratitude Toward Healthcare
659,the waiting time was too long and frustrating,negative,Hope for Future
864,the treatment results are yet to be seen,neutral,Fear of Future
1962,im looking forward to a detailed and succeeding future,positive,Communication
869,the treatment results are yet to be seen,neutral,Treatment Concerns
163,the treatment plan was effective and reassuring,positive,Fear of Future
477,i feel hopeless about my condition,negative,Trust in Healthcare
242,i feel optimistic about the results of the therapy,positive,Depression and Hopelessness
471,the treatment plan felt confusing and unclear,negative,Hope for Future
840,the service was average not particularly good or bad,neutral,Treatment Response
277,the medication has improved my symptoms significantly,positive,Communication
106,im noticing doubtful injurious and dubious changes in my daily life,negative,Additional Negative Terms
349,i am dissatisfied with the overall communication,negative,Treatment Concerns
1429,each day im feeling a little more realizing determined and undoubted,positive,Additional Positive Terms
762,the consultation was neither too long nor too short,neutral,Treatment Response
1245,my recovery has not been thriving thriving and discerned,positive,Additional Positive Terms
1418,im finding the new medication serious,negative,Additional Negative Terms
428,i feel inflexible disadvantageous and extravagant regarding my care,negative,Additional Negative Terms
226,the medication has improved my symptoms significantly,positive,Hope for Future
959,the results are pending so i cannot comment fully,neutral,Additional Positive Terms
769,the service was average not particularly good or bad,neutral,Depression and Hopelessness
625,the medication caused side effects and discomfort,negative,Social Support
5,i trust the healthcare team with my recovery,positive,Treatment Response
1732,im content and adaptive with how the treatment is going,positive,Additional Positive Terms
168,the pain is not unconvinced,negative,Additional Negative Terms
1711,there is no accessible in my condition,positive,Additional Positive Terms
980,i felt subduing and suffering during my last consultation,negative,Additional Negative Terms
377,the path to recovery feels accommodating,positive,Additional Positive Terms
186,the nurses were caring and attentive during my stay,positive,Hope for Future
860,i am not weak and advanced about my condition,negative,Worsening Condition
925,the service was average not particularly good or bad,neutral,Pain and Discomfort
71,the medication is making me feel adopted,positive,Clarity
254,i felt comfortable and respected during my consultation,positive,Hope for Future
499,i am dissatisfied with the overall communication,negative,Emotional Wellbeing
550,the treatment plan is not horrorstruck and impaired,negative,Fear of Future
1327,ive been experiencing placid and empathetic in my recovery,positive,Comfort
327,my experience at the hospital has been excellent,positive,Financial Concerns
916,the results are pending so i cannot comment fully,neutral,Fear of Future
861,the process was standard and nothing unusual,neutral,Social Support
1999,my recovery has been erudite unified and endurable so far,positive,Additional Positive Terms
851,the consultation was neither too long nor too short,neutral,Additional Positive Terms
439,i do not have outraged and distressed in my healthcare team,negative,Emotional Distress
58,i trust the healthcare team with my recovery,positive,Treatment Concerns
638,the hospital staff seemed inattentive to my concerns,negative,Hope for Future
886,i received the prescribed medication as planned,neutral,Social Support
620,the pain is promising,positive,Additional Positive Terms
1903,i feel pliable and expectant about the information i received,positive,Hope for Future
872,the process was standard and nothing unusual,neutral,Hope for Future
511,the waiting time was too long and frustrating,negative,Financial Concerns
1103,im concerned about the adversarial inflexible and repercussions impact of the therapy,negative,Additional Negative Terms
1845,since the treatment ive been outraged feeble and appalling,negative,Additional Negative Terms
813,the results are pending so i cannot comment fully,neutral,Fear of Future
1861,the doctor said my condition is spry and endorsing,positive,Gratitude Toward Healthcare
390,the medication caused side effects and discomfort,negative,Treatment Response
1488,my recovery has been acknowledged and renewing so far,positive,Trust in Healthcare
517,i do not have received and reviving in my healthcare team,positive,Clarity
544,i feel incapacitated and fierce regarding my care,negative,Limitations
1615,i have untaught in my healthcare team,negative,Additional Negative Terms
728,i received the prescribed medication as planned,neutral,Treatment Concerns
727,the hospital environment was clean and organized,neutral,Financial Concerns
736,the hospital environment was clean and organized,neutral,Fear of Future
272,i found the doctors explanation very accomplished attentive and affiliated,positive,Cooperation
1651,im feeling quite realizing about my prognosis,positive,Additional Positive Terms
1499,the side effects are inspired tough and accomplishing,positive,Additional Positive Terms
1059,my symptoms are becoming more plentiful thoughtful and proficient,positive,Additional Positive Terms
332,my symptoms are reasonable and thankful,positive,Gratitude Toward Healthcare
596,the cost of treatment has been overwhelming,negative,Fear of Future
253,i am hopeful about my future health progress,positive,Social Support
872,the process was standard and nothing unusual,neutral,Hope for Future
1006,im noticing thoughtful and moderate changes in my daily life,positive,Additional Positive Terms
444,i am dissatisfied with the overall communication,negative,Communication
829,i am waiting for further diagnosis before forming an opinion,neutral,Additional Negative Terms
959,the results are pending so i cannot comment fully,neutral,Additional Positive Terms
985,my mood has not been ineffective and burning,negative,Depression and Hopelessness
245,im trying to stay accommodating committed and adjustable despite the challenges,positive,Additional Positive Terms
1955,ive been experiencing committed superior and propitious due to side effects,positive,Additional Positive Terms
1568,each day im feeling a little more adopted and educated,positive,Clarity
922,im concerned about the savage imprudent and increased impact of the therapy,negative,Additional Negative Terms
1923,my mood has not been customary and informative,positive,Communication
659,the waiting time was too long and frustrating,negative,Hope for Future
9,the doctor was very supportive and explained everything clearly,positive,Emotional Wellbeing
1904,my mood has not been overwhelming and scared,negative,Additional Negative Terms
403,i am dissatisfied with the overall communication,negative,Frustration
768,ive been dealing with a fatiguing and queasy feeling in my joints,negative,Additional Negative Terms
1620,i hardly feel appalled and ignored anymore,negative,Fear of Future
1770,the medication is making me feel apathetic sickly and lost,negative,Additional Negative Terms
39,the medication has improved my symptoms significantly,positive,Pain and Discomfort
